Age	fit	ci_lo	ci_hi	model
64	0.03974522596535111	0.03590444474983622	0.04358600718086599	exome_vafSum_likelyDisease
65	0.0403848419336198	0.03639421610706404	0.044375467760175556	exome_vafSum_likelyDisease
66	0.04102445790188848	0.036878489896115724	0.04517042590766124	exome_vafSum_likelyDisease
67	0.04166407387015717	0.03735786103317332	0.045970286707141025	exome_vafSum_likelyDisease
68	0.042303689838425855	0.03783285665375956	0.04677452302309215	exome_vafSum_likelyDisease
69	0.042943305806694546	0.03830394250899755	0.04758266910439154	exome_vafSum_likelyDisease
70	0.04358292177496323	0.03877152942699179	0.04839431412293467	exome_vafSum_likelyDisease
71	0.04422253774323192	0.039235979519425236	0.0492090959670386	exome_vafSum_likelyDisease
72	0.0448621537115006	0.03969761195177925	0.05002669547122195	exome_vafSum_likelyDisease
73	0.045501769679769294	0.04015670818979624	0.05084683116974235	exome_vafSum_likelyDisease
74	0.04614138564803798	0.04061351669603885	0.05166925460003711	exome_vafSum_likelyDisease
75	0.04678100161630667	0.04106825708810005	0.052493746144513284	exome_vafSum_likelyDisease
76	0.04742061758457535	0.041521123791559804	0.0533201113775909	exome_vafSum_likelyDisease
77	0.04806023355284404	0.04197228923162206	0.05414817787406603	exome_vafSum_likelyDisease
78	0.048699849521112726	0.04242190661137193	0.054977792430853524	exome_vafSum_likelyDisease
79	0.04933946548938141	0.04287011232443314	0.05580881865432968	exome_vafSum_likelyDisease
80	0.0499790814576501	0.04331702804726053	0.05664113486803967	exome_vafSum_likelyDisease
10	-3.034814047269067e-4	-0.009534076794824705	0.008927113985370893	vafSum_likelyDisease
11	4.257269465113235e-5	-0.008985978724471745	0.009071124113774011	vafSum_likelyDisease
12	3.886267940291714e-4	-0.008438349390410636	0.00921560297846898	vafSum_likelyDisease
13	7.346808934072104e-4	-0.007891221653831545	0.009360583440645966	vafSum_likelyDisease
14	0.0010807349927852495	-0.007344631427087743	0.009506101412658242	vafSum_likelyDisease
15	0.0014267890921632886	-0.006798618023880123	0.0096521962082067	vafSum_likelyDisease
16	0.0017728431915413276	-0.006253224556806087	0.009798910939888742	vafSum_likelyDisease
17	0.0021188972909193665	-0.005708498389531334	0.009946292971370067	vafSum_likelyDisease
18	0.0024649513902974055	-0.005164491652054036	0.010094394432648847	vafSum_likelyDisease
19	0.002811005489675445	-0.004621261828949617	0.010243272808300508	vafSum_likelyDisease
20	0.0031570595890534838	-0.004078872432143945	0.010392991610250911	vafSum_likelyDisease
21	0.0035031136884315227	-0.003537393771698694	0.010543621148561739	vafSum_likelyDisease
22	0.003849167787809562	-0.002996903840341794	0.010695239415960917	vafSum_likelyDisease
23	0.004195221887187601	-0.0024574893300740855	0.010847933104449287	vafSum_likelyDisease
24	0.00454127598656564	-0.0019192468021605779	0.011001798775291859	vafSum_likelyDisease
25	0.004887330085943679	-0.0013822840351879325	0.01115694420707529	vafSum_likelyDisease
26	0.005233384185321718	-8.467215796305501e-4	0.011313489950273986	vafSum_likelyDisease
27	0.005579438284699757	-3.126945514631812e-4	0.011471571120862695	vafSum_likelyDisease
28	0.0059254923840777966	2.1964529833811558e-4	0.011631339469817478	vafSum_likelyDisease
29	0.0062715464834558355	7.501271972967689e-4	0.011792965769614902	vafSum_likelyDisease
30	0.0066176005828338744	0.0012785586030246328	0.011956642562643116	vafSum_likelyDisease
31	0.006963654682211913	0.0018047220453545308	0.012122587319069296	vafSum_likelyDisease
32	0.007309708781589952	0.0023283715111403844	0.01229104605203952	vafSum_likelyDisease
33	0.007655762880967991	0.002849228327552358	0.012462297434383623	vafSum_likelyDisease
34	0.00800181698034603	0.003366976510032333	0.012636657450659727	vafSum_likelyDisease
35	0.008347871079724069	0.0038812575618329412	0.012814484597615198	vafSum_likelyDisease
36	0.008693925179102108	0.00439166474858089	0.012996185609623326	vafSum_likelyDisease
37	0.009039979278480147	0.004897736930823473	0.01318222162613682	vafSum_likelyDisease
38	0.009386033377858186	0.005398952129340327	0.013373114626376045	vafSum_likelyDisease
39	0.009732087477236225	0.005894721133151265	0.013569453821321185	vafSum_likelyDisease
40	0.010078141576614266	0.0063843816499243875	0.013771901503304144	vafSum_likelyDisease
